accession,description,seq_length
NC_038338.1,"NC_038338.1 Torque teno virus 11 isolate TCHN-D1 Orf2 and Orf1 genes, complete cds",3193
NC_038339.1,"NC_038339.1 Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds",3312
NC_038340.1,"NC_038340.1 Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10",3234
NC_038341.1,"NC_038341.1 Torque teno virus 21 isolate TCHN-B ORF2 and ORF1 genes, complete cds",3153
NC_038342.1,"NC_038342.1 Torque teno virus 23 ORF2, ORF1 genes, complete cds, isolate: s-TTV CH65-2",3301
NC_038343.1,"NC_038343.1 Torque teno virus 24 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-01",3246
NC_038344.1,"NC_038344.1 Torque teno virus 29 ORF2, ORF1, ORF3 genes, complete cds, isolate: TTVyon-KC009",3676
NC_038345.1,"NC_038345.1 Torque teno mini virus 10 isolate LIL-y1 ORF2, ORF1, ORF3, and ORF4 genes, complete cds",2887
NC_038346.1,"NC_038346.1 Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds",2871
NC_038347.1,"NC_038347.1 Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds",2912
NC_038350.1,"NC_038350.1 Torque teno midi virus 3 isolate 2PoSMA ORF2 and ORF1 genes, complete cds",2002
NC_038351.1,"NC_038351.1 Torque teno midi virus 4 isolate 6PoSMA ORF2, ORF1, and ORF3 genes, complete cds",2454
NC_038352.1,"NC_038352.1 Torque teno midi virus 5 DNA, complete genome, isolate: MDJHem2",3208
NC_038353.1,"NC_038353.1 Torque teno midi virus 6 DNA, complete genome, isolate: MDJHem3-1",3198
NC_038354.1,"NC_038354.1 Torque teno midi virus 7 DNA, complete genome, isolate: MDJHem3-2",3197
NC_038355.1,"NC_038355.1 Torque teno midi virus 8 DNA, complete genome, isolate: MDJN1",3223
NC_038356.1,"NC_038356.1 Torque teno midi virus 9 DNA, complete genome, isolate: MDJN2",3187
NC_038357.1,"NC_038357.1 Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14",3175
NC_038358.1,"NC_038358.1 Torque teno midi virus 11 DNA, complete genome, isolate: MDJN47",3198
NC_038359.1,"NC_038359.1 Torque teno midi virus 12 DNA, complete genome, isolate: MDJN51",3187
NC_038360.1,"NC_038360.1 Torque teno midi virus 13 DNA, complete genome, isolate: MDJN69",3230
NC_038361.1,"NC_038361.1 Torque teno midi virus 14 DNA, complete genome, isolate: MDJN97",3223
NC_038362.1,"NC_038362.1 Torque teno midi virus 15 DNA, complete genome, isolate: Pt-TTMDV210",3257
NC_038363.1,"NC_038363.1 Torque teno sus virus k2b isolate 38E23, complete genome",2899
NC_038369.1,"NC_038369.1 Spodoptera littoralis NPV isolate AN1956, complete genome",137998
NC_038371.1,"NC_038371.1 Clostera anastomosis granulovirus B, complete genome",107439
NC_038373.1,"NC_038373.1 Choclo virus segment S, complete sequence",1972
NC_038374.1,"NC_038374.1 Choclo virus segment M, complete sequence",3685
NC_038375.1,"NC_038375.1 Trichoplusia ni granulovirus LBIV-12, complete genome",175360
NC_038378.1,"NC_038378.1 Cacao swollen shoot CD virus isolate CI152-09, complete genome",7203
NC_038379.1,"NC_038379.1 Cacao swollen shoot Togo A virus isolate Hebei, complete genome",13221
NC_038380.1,"NC_038380.1 Canna yellow mottle virus isolate CaYMV-A. purpurata, complete genome",7120
NC_038381.1,"NC_038381.1 Dioscorea bacilliform AL virus isolate DBALV-[3RT], complete genome",7609
NC_038382.1,"NC_038382.1 Sugarcane bacilliform Guadeloupe A virus clone 1, complete genome",7444
NC_038385.1,"NC_038385.1 Bat associated circovirus 1 isolate XOR, complete genome",1862
NC_038386.1,"NC_038386.1 Rhinolophus ferrumequinum circovirus 1, complete genome",1760
NC_038387.1,"NC_038387.1 Bat associated circovirus 5 isolate BtPa-CV-1/NX2013, complete genome",2094
NC_038388.1,"NC_038388.1 Bat associated circovirus 6 isolate BtRa-CV/JS2013, complete genome",1880
NC_038389.1,"NC_038389.1 Bat associated circovirus 7 isolate BtRs-CV/HuB2013, complete genome",1944
NC_038390.1,"NC_038390.1 Bat associated circovirus 8 isolate BtMr-CV/GD2012, complete genome",2069
NC_038391.1,"NC_038391.1 Chimpanzee stool avian-like circovirus Chimp17, complete genome",1935
NC_038392.1,"NC_038392.1 Human stool-associated circular virus NG13, complete genome",1699
NC_038393.1,"NC_038393.1 Bat associated cyclovirus 2 isolate YN-BtCV-2, complete genome",1771
NC_038394.1,"NC_038394.1 Bat associated cyclovirus 3 isolate YN-BtCV-4, complete genome",1741
NC_038395.1,"NC_038395.1 Bat associated cyclovirus 4 isolate YN-BtCV-5, complete genome",1818
NC_038396.1,"NC_038396.1 Bat associated cyclovirus 6 isolate BtRp-CV-3/GD2012, complete genome",1688
NC_038397.1,"NC_038397.1 Bat associated cyclovirus 7 isolate BtRf-CV-24/YN2010, complete genome",2379
NC_038398.1,"NC_038398.1 Bat associated cyclovirus 8 isolate BtRp-CV-52/GD2012, complete genome",1746
NC_038399.1,"NC_038399.1 Bat associated cyclovirus 9 isolate BtTp-CV-2/GX2012, complete genome",1760
NC_038400.1,"NC_038400.1 Bat associated cyclovirus 11 isolate BtMspp.-CV/GD2012, complete genome",1844
NC_038401.1,"NC_038401.1 Bat associated cyclovirus 13 isolate BtPa-CV-2/NX2013, complete genome",1809
NC_038402.1,"NC_038402.1 Pacific flying fox associated cyclovirus-1 isolate Tbat_H_103699, complete genome",1923
NC_038403.1,"NC_038403.1 Pacific flying fox associated cyclovirus-2 isolate Tbat_H_88317, complete genome",1916
NC_038404.1,"NC_038404.1 Pacific flying fox associated cyclovirus-3 isolate Tbat_K_103923, complete genome",1838
NC_038405.1,"NC_038405.1 Cyclovirus PKbeef23/PAK/2009 isolate PKbeef23, complete genome",1838
NC_038406.1,"NC_038406.1 Cyclovirus NGchicken8/NGA/2009 isolate NGchicken8, complete genome",1760
NC_038407.1,"NC_038407.1 Cyclovirus Chimp11, complete genome",1750
NC_038408.1,"NC_038408.1 Dragonfly cyclovirus 6 isolate DfCyV-6_US-DFKWGX-2012, complete genome",1761
NC_038409.1,"NC_038409.1 Dragonfly cyclovirus 7 isolate DfCyV-7_NZ-DFNZ3-2011, complete genome",1757
NC_038410.1,"NC_038410.1 Dragonfly cyclovirus 8 isolate DfCyV-8_AU-DFB007B-2010, complete genome",1764
NC_038411.1,"NC_038411.1 Cyclovirus Equ1, complete genome",1843
NC_038412.1,"NC_038412.1 Cyclovirus PK5510, complete genome",1759
NC_038413.1,"NC_038413.1 Cyclovirus PK5222, complete genome",1740
NC_038414.1,"NC_038414.1 Cyclovirus TN25, complete genome",1867
NC_038415.1,"NC_038415.1 Cyclovirus PK5034, complete genome",1780
NC_038416.1,"NC_038416.1 Cyclovirus NG12, complete genome",1794
NC_038417.1,"NC_038417.1 Cyclovirus NG14, complete genome",1795
NC_038418.1,"NC_038418.1 Cyclovirus SL-108277, complete genome",1710
NC_038421.1,"NC_038421.1 Cordyline virus 1 isolate Kahaluu-1, complete genome",16883
NC_038426.1,"NC_038426.1 Hepacivirus B polypeptide gene, complete cds",9143
NC_038427.1,"NC_038427.1 Hepacivirus F, complete genome",9188
NC_038428.1,"NC_038428.1 Hepacivirus I, complete genome",8883
NC_038430.1,"NC_038430.1 Hepacivirus K, complete genome",9609
NC_038432.1,"NC_038432.1 Hepacivirus N, complete genome",8880
NC_038433.1,"NC_038433.1 Theiler's disease-associated virus isolate HorseA1_serum, complete genome",10479
NC_038436.1,"NC_038436.1 Human hepegivirus isolate AK-790 polyprotein gene, complete cds",9538
NC_038440.1,"NC_038440.1 Chenopodium leaf curl virus, complete genome",2626
NC_038444.1,"NC_038444.1 Cotton leaf curl Gezira virus-[Cotton] A component, complete genome",2761
NC_038458.1,"NC_038458.1 Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008] clone pBrA4, complete genome",2600
NC_038460.1,"NC_038460.1 Sida golden yellow vein virus-[A11], complete genome",2603
NC_038465.1,"NC_038465.1 Sweet potato leaf curl Sichuan virus 1 isolate China:Sichuan15:2012, complete genome",2764
NC_038466.1,"NC_038466.1 Sweet potato mosaic virus - [Brazil:Brasilia1:2007] isolate BR:BSB1, complete genome",2803
NC_038470.1,"NC_038470.1 Tomato leaf curl New Delhi virus 2, complete genome",2735
NC_038477.1,"NC_038477.1 Plantago lanceolata latent virus isolate ALA13_Pl11, complete genome",2832
NC_038478.1,"NC_038478.1 Chickpea yellows mastrevirus isolate CpYV_AU_3489B_2002, complete genome",2557
NC_038479.1,"NC_038479.1 Hypericum japonicum associated circular DNA virus isolate VNHJ1W, complete genome",2200
NC_038480.1,"NC_038480.1 Miniopterus associated gemycircularvirus 1 isolate BtMf-CV-23/GD2012, complete genome",2193
NC_038481.1,"NC_038481.1 Mosquito VEM virus SDBVL G, complete genome",2238
NC_038482.1,"NC_038482.1 Odonata associated gemycircularvirus-1 isolate OdaGmV-1-US-260BC-12, complete genome",2145
NC_038483.1,"NC_038483.1 Odonata associated gemycircularvirus-2 isolate OdaGmV-2-US-1642KW-12, complete genome",2190
NC_038484.1,"NC_038484.1 Pacific flying fox faeces associated gemycircularvirus-10 isolate Tbat_45285, complete genome",2191
NC_038485.1,"NC_038485.1 Pacific flying fox faeces associated gemycircularvirus-2 isolate Tbat_103791, complete genome",2250
NC_038486.1,"NC_038486.1 Pteropus associated gemycircularvirus 3 isolate Tbat_A_103852, complete genome",2172
NC_038487.1,"NC_038487.1 Pteropus associated gemycircularvirus 4 isolate Tbat_H_103806, complete genome",2250
NC_038488.1,"NC_038488.1 Pteropus associated gemycircularvirus 5 isolate Tbat_12377, complete genome",2205
NC_038489.1,"NC_038489.1 Pteropus associated gemycircularvirus 6 isolate Tbat_103951, complete genome",2230
NC_038490.1,"NC_038490.1 Pteropus associated gemycircularvirus 7 isolate Tbat_A_103746, complete genome",2155
NC_038491.1,"NC_038491.1 Pteropus associated gemycircularvirus 8 isolate Tbat_31579, complete genome",2185
NC_038492.1,"NC_038492.1 Pteropus associated gemycircularvirus 9 isolate Tbat_21383, complete genome",2140
NC_038493.1,"NC_038493.1 Pteropus associated gemycircularvirus 10 isolate Tbat_H_103958, complete genome",2209
NC_038495.1,"NC_038495.1 Pacific flying fox faeces associated gemycircularvirus-1 isolate Tbat_A_103952, complete genome",2233
NC_038496.1,"NC_038496.1 Gemycircularvirus C1c capsid protein (Cap) gene, complete cds",2109
NC_038497.1,"NC_038497.1 Human gemycircularvirus GeTz1, complete genome",2202
NC_038498.1,"NC_038498.1 Pacific flying fox faeces associated gemycircularvirus-12 isolate Tbat_A_64418, complete genome",2310
NC_038499.1,"NC_038499.1 Rhinolophus associated gemykibivirus 1 isolate BtRh-CV-6/Tibet2013, complete genome",2153
NC_038500.1,"NC_038500.1 Rhinolophus associated gemykibivirus 2 isolate BtRf-CV-8/NM2013, complete genome",1998
NC_038501.1,"NC_038501.1 Pacific flying fox faeces associated gemycircularvirus-6 isolate Tbat_A_103779, complete genome",2220
NC_038502.1,"NC_038502.1 Pacific flying fox faeces associated gemycircularvirus-7 isolate Tbat_H_103921, complete genome",2217
NC_038504.1,"NC_038504.1 Hepatitis E virus rat/R63/DEU/2009, complete genome",6965
NC_038505.1,"NC_038505.1 Laguna Negra virus nucleocapsid protein and putative nonstructural protein genes, complete cds",1904
NC_038506.1,"NC_038506.1 Laguna Negra virus glycoprotein precursor gene, complete cds",3698
NC_038507.1,"NC_038507.1 Bohle iridovirus isolate BIV-ME 93/35, complete genome",103531
NC_038511.1,"NC_038511.1 Tunisvirus fontaine2 strain U484, complete genome",380011
NC_038516.1,"NC_038516.1 Ovine papillomavirus type 3 isolate Sar1, complete genome",7344
NC_038517.1,"NC_038517.1 Eptesicus serotinus papillomavirus type 2, complete genome",7574
NC_038518.1,"NC_038518.1 Eptesicus serotinus papillomavirus type 1, complete genome",7668
NC_038519.1,"NC_038519.1 Miniopterus schreibersii papillomavirus 1 strain TT20F, complete genome",7531
NC_038520.1,"NC_038520.1 Feline papillomavirus type 2 isolate Main Coon 2007, complete genome",7899
NC_038522.1,"NC_038522.1 Human papillomavirus type 161 isolate KC1, complete genome",7238
NC_038523.1,"NC_038523.1 Human papillomavirus type 172, complete genome",7203
NC_038524.1,"NC_038524.1 Human papillomavirus type 175 isolate SE87, complete genome",7226
NC_038525.1,"NC_038525.1 Human papillomavirus type 204 isolate A342, complete genome",7227
NC_038526.1,"NC_038526.1 Trichechus manatus papillomavirus 3 strain TmPV-3, complete genome",7622
NC_038527.1,"NC_038527.1 Rhinolophus ferrumequinum papillomavirus type 1, complete genome",8249
NC_038531.1,"NC_038531.1 Vulpes vulpes papillomavirus 1 isolate ILAT 93957, complete genome",7519
NC_038534.1,"NC_038534.1 Turkey parvovirus 260, complete genome",4615
NC_038540.1,"NC_038540.1 Simian parvovirus non-structural protein NS1, capsid proteins VP1 and VP2 genes, complete cds",4986
NC_038544.1,"NC_038544.1 Primate protoparvovirus 1 strain BF.86 NS1, putative VP1, hypothetical protein, and VP2 genes, complete cds",4822
NC_038553.1,"NC_038553.1 Heterosigma akashiwo virus 01 isolate HaV53, complete genome",274793
NC_038554.1,"NC_038554.1 Bat polyomavirus 5b DNA, complete genome, isolate: 5b-2",5040
NC_038555.1,"NC_038555.1 Artibeus planirostris polyomavirus 2 isolate A1055, complete genome",5019
NC_038556.1,"NC_038556.1 Artibeus planirostris polyomavirus 3 isolate A504, complete genome",5187
NC_038557.1,"NC_038557.1 Sturnira lilium polyomavirus 1 isolate B0454, complete genome",5058
NC_038558.1,"NC_038558.1 Artibeus planirostris polyomavirus 1 isolate R104, complete genome",5371
NC_038559.1,"NC_038559.1 Saimiri sciureus polyomavirus 1, complete genome",5067
NC_038560.1,"NC_038560.1 Broad-leafed dock virus A isolate ab032 Auckland, complete genome",8174
NC_038561.1,"NC_038561.1 Yam chlorotic necrotic mosaic virus isolate YS, complete genome",8208
NC_038571.1,"NC_038571.1 Corriparta virus strain AUS1960/01 VP5 protein gene, complete cds",1683
NC_038572.1,"NC_038572.1 Corriparta virus strain AUS1960/01 NS2 protein gene, complete cds",1187
NC_038573.1,"NC_038573.1 Corriparta virus strain AUS1960/01 VP7 protein gene, complete cds",1176
NC_038601.1,"NC_038601.1 Lebombo virus isolate SAAR 3896 segment 5, complete sequence",1736
NC_038602.1,"NC_038602.1 Lebombo virus isolate SAAR 3896 segment 10, complete sequence",739
NC_038603.1,"NC_038603.1 Lebombo virus isolate SAAR 3896 segment 9, complete sequence",997
NC_038611.1,"NC_038611.1 Orungo virus isolate UGMP 359 segment 5, complete sequence",1735
NC_038612.1,"NC_038612.1 Orungo virus isolate UGMP 359 segment 9, complete sequence",925
NC_038613.1,"NC_038613.1 Orungo virus isolate UGMP 359 segment 10, complete sequence",761
NC_038665.1,"NC_038665.1 Pulau reovirus segment L1, complete sequence",3896
NC_038666.1,"NC_038666.1 Pulau reovirus segment M3, complete sequence",1984
NC_038667.1,"NC_038667.1 Pulau reovirus segment S1, complete sequence",1600
NC_038670.1,"NC_038670.1 Cabassou virus strain CaAr 508, complete genome",11385
NC_038671.1,"NC_038671.1 Everglades virus, complete sequence",11395
NC_038672.1,"NC_038672.1 Mucambo virus strain Mucambo BeAn 8, complete genome",11391
NC_038673.1,"NC_038673.1 Pixuna virus strain Pixuna BeAr 35645, complete genome",11344
NC_038674.1,"NC_038674.1 Rio Negro virus strain AG80-663, complete genome",11494
NC_038675.1,"NC_038675.1 Tonate virus strain Tonate CaAn 410d, complete genome",11530
NC_038677.1,"NC_038677.1 Eupatorium yellow vein mosaic betasatellite DNA, complete genome, isolate: Suya-2003",1359
NC_038682.1,"NC_038682.1 Siegesbeckia yellow vein betasatellite isolate FZ02, complete genome",1359
NC_038685.1,"NC_038685.1 Tomato leaf curl Laguna betasatellite DNA beta DNA, complete genome, isolate: Laguna1",1346
NC_038697.1,"NC_038697.1 Scheffersomyces segobiensis virus L isolate NRRL Y-11571, complete genome",4590
NC_038700.1,"NC_038700.1 Trichomonas vaginalis virus 4 strain TVV4-OC3, complete genome",4944
NC_038718.1,"NC_038718.1 Lukuni virus strain TRVL 10076 polyprotein gene, complete cds",4324
NC_038719.1,"NC_038719.1 Lukuni virus strain TRVL 10076 nucleocapsid protein gene, complete cds",850
NC_038720.1,"NC_038720.1 Lukuni virus strain TRVL 10076 RNA-dependent RNA polymerase gene, complete cds",6793
NC_038723.1,"NC_038723.1 Bimiti virus strain TRVL 8362 polyprotein gene, complete cds",4423
NC_038724.1,"NC_038724.1 Bimiti virus strain TRVL 8362 RNA-dependent RNA polymerase gene, complete cds",6830
NC_038725.1,"NC_038725.1 Bimiti virus strain TRVL 8362 nucleocapsid protein gene, complete cds",849
NC_038726.1,"NC_038726.1 Catu virus strain BeH 151 nucleocapsid protein gene, complete cds",807
NC_038727.1,"NC_038727.1 Catu virus strain BeH 151 polyprotein gene, complete cds",4420
NC_038728.1,"NC_038728.1 Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds",6797
NC_038735.1,"NC_038735.1 Guama virus strain BeAn 277 polyprotein gene, complete cds",4412
NC_038736.1,"NC_038736.1 Guama virus strain BeAn 277 RNA-dependent RNA polymerase gene, complete cds",6861
NC_038737.1,"NC_038737.1 Guama virus strain BeAn 277 nucleocapsid protein gene, complete cds",850
NC_038738.1,"NC_038738.1 Kairi virus strain BeAr8226 segment L, complete sequence",6910
NC_038739.1,"NC_038739.1 Kairi virus strain BeAr8226 segment M, complete sequence",4594
NC_038740.1,"NC_038740.1 Kairi virus strain BeAr8226 segment S, complete sequence",993
NC_038819.1,"NC_038819.1 Quaranfil virus isolate EG T 377 hypothetical protein gene, complete cds",1726
NC_038820.1,"NC_038820.1 Quaranfil virus isolate EG T 377 hemagglutinin (HA) gene, complete cds",1616
NC_038821.1,"NC_038821.1 Quaranfil virus isolate EG T 377 polymerase PB1 (PB1) gene, complete cds",2386
NC_038857.1,"NC_038857.1 Mosso das Pedras virus, complete sequence",11465
NC_038861.1,"NC_038861.1 Transmissible gastroenteritis virus complete genome, genomic RNA",28586
NC_038875.1,"NC_038875.1 Chilli leaf curl India virus segment A, complete genome",2755
NC_038878.1,"NC_038878.1 Human rhinovirus NAT001 polyprotein gene, complete cds",6944
NC_038879.1,"NC_038879.1 Eupatorium yellow vein virus-[SOJ3] complete genome, isolate Fukuoka-SOJ3",2778
NC_038880.1,"NC_038880.1 Rosavirus M-7 polyprotein gene, complete cds",8749
NC_038881.1,"NC_038881.1 Euphorbia leaf curl Guangxi virus complete genome, isolate G35-1",2747
NC_038882.1,"NC_038882.1 Hepatitis C virus (isolate H77) genotype 1, complete cds",9599
NC_038884.1,"NC_038884.1 Hollyhock leaf curl virus, complete genome, isolate [Pakistan:20-4:06] Faisalabad3",2748
NC_038885.1,"NC_038885.1 Rhynchosia yellow mosaic virus, segment DNA-A, complete genome",2740
NC_038886.1,"NC_038886.1 Rhynchosia yellow mosaic virus, segment DNA-B, complete genome",2639
NC_038889.1,NC_038889.1 Human papillomavirus type 30 genomic DNA,7852
